Hour,ShadingAngle
1,61.0374317396349
2,64.65397162850333
3,73.3221138998142
4,15.019935208834376
5,36.539119432451336
6,68.51763989789559
7,33.171031234642804
8,38.65197423466282
9,35.89440974270003
10,4.485377918479056
11,49.1833260038933
12,22.416750449307454
13,58.6876854191527
14,51.646494028882174
15,23.93410506345251
16,55.51954709952239
17,19.641612739363943
18,53.05696984509625
19,83.14845098114789
20,5.777595522508543
21,33.49513815751219
22,47.27696183400673
23,8.436516987357393
24,38.374049096407525
25,18.63558962014125
26,15.263032611286972
27,27.511591692508304
28,65.38975861937799
29,73.75248391094995
30,2.9166316380195467
31,61.264737502848696
32,35.43168702001167
33,69.80751718031682
34,41.88801707063985
35,89.06312456517556
36,35.63951821651691
37,86.54068426001704
38,78.67248237921343
39,56.75602850987466
40,19.25494458556894
41,35.439580168466975
42,61.80195923295505
43,51.33313788075581
44,73.1079803750614
45,27.69093681784055
46,74.78826583263688
47,8.39199258487182
48,51.553105526124156
49,42.6127759615991
50,22.812816644592115
51,21.628096923579704
52,37.375126442855226
53,73.82161983081917
54,21.897471510992457
55,83.98078552870982
56,71.25025049768925
57,24.423584821037764
58,82.571753243444
59,6.988748001087606
60,47.29910257125526
61,37.51048708219044
62,64.10012284613528
63,5.4239034062670495
64,12.552805331663713
65,55.62498301425279
66,67.80175885042829
67,32.41966109581505
68,76.22798913479876
69,30.943018717453285
70,12.711822288871414
71,61.53112949635597
72,14.828488869629027
73,0.9432931793631294
74,50.44163227583108
75,42.44060022730358
76,43.22156802841957
77,53.92567365467151
78,72.78784644477413
79,83.39612494533003
80,70.05635670860636
81,35.847893605920866
82,32.38536027420045
83,83.75444309620724
84,72.34807420526322
85,24.02891904226508
86,88.58469597893871
87,4.905670807575796
88,71.03442982983479
89,17.99801891718601
90,13.33059259512349
91,15.09852638945836
92,89.70306825478556
93,52.48252575381345
94,52.93521107334133
95,43.39835360883872
96,61.51990280390752
97,39.794557602201216
98,41.81321809399901
99,58.413739556836354
100,79.77975635179064
101,87.36811336043006
102,63.088741585757745
103,29.866425371624608
104,4.474320396370318
105,68.896280346518
106,7.8347232030944935
107,71.47977649921657
108,80.82701030111558
109,50.74263638946442
110,17.44278618819881
111,3.6697937993534446
112,18.974815619146202
113,45.52091392607083
114,35.289311088171026
115,85.80194316039913
116,53.253992275357604
117,20.845450957608985
118,48.335403874863665
119,85.42863760084207
120,44.32994659500569
121,71.3956885023566
122,71.20680887439039
123,67.89442576414655
124,47.8390608084775
125,73.043540098262
126,44.696221048166876
127,40.57052430636311
128,35.54700589811599
129,41.193622964323
130,87.37178734704584
131,66.49715757042254
132,57.51959418223875
133,40.035945167161465
134,43.34942571179504
135,34.20220177292077
136,41.751292820021646
137,62.775632976912696
138,78.35225042774198
139,53.871176098245236
140,53.31984097209935
141,66.73082865443128
142,84.57866401906563
143,28.95270414945151
144,8.300984989624572
145,11.44763604311082
146,44.416689628326836
147,67.91639474410583
148,53.12282846517894
149,22.388783083622073
150,9.277927948199734
151,21.87577712628312
152,43.337481712290796
153,88.41275431046394
154,74.99667362076498
155,32.62321520907231
156,78.16126702730283
157,68.64712719552068
158,16.320628152466764
159,34.81976981063219
160,40.164349696158105
161,77.57503179107314
162,48.182377687264974
163,8.473174143369587
164,25.032259333261038
165,72.21796904754045
166,4.707506558205553
167,9.947539301616562
168,86.36571220786877
169,53.23108733446554
170,80.05546850171702
171,24.768299813114155
172,67.99459472479725
173,61.15683119347656
174,71.29107275642563
175,17.79143275595027
176,22.991082267046384
177,19.45225309583119
178,84.1360284795609
179,66.35961729519978
180,12.46561911159234
181,13.298228320067281
182,76.47393310338425
183,81.8215795261322
184,58.27057577696577
185,21.98725875672639
186,36.8449053701968
187,84.86074724882438
188,88.85118077496824
189,64.66105754398724
190,19.836192467853998
191,33.537010967221306
192,82.89197183544832
193,40.4936292129275
194,14.63432498242281
195,0.11840915588601564
196,84.90618200601565
197,57.598167894990645
198,54.21714760219862
199,39.19604257610239
200,47.77603245461055
201,24.707535929861738
202,35.43280186127662
203,45.26542980087751
204,30.17087700781453
205,26.213927123271308
206,41.9562805850359
207,21.31437386701568
208,77.56005570972879
209,38.55728289234292
210,37.97447767406271
211,50.10041034426053
212,30.087487849183724
213,30.44200460424099
214,8.353049745592601
215,71.71330283973377
216,35.876173979735405
217,64.67757451424485
218,1.158942437225452
219,87.6756010353216
220,74.33016993997218
221,24.212525976445832
222,52.016202387746574
223,63.45499065387617
224,70.32887662110981
225,8.425874161160147
226,85.61384001103845
227,87.0980840934884
228,53.13395560026759
229,54.84410356624574
230,26.709006671827325
231,59.4464122689601
232,68.94313611814377
233,70.14123974106387
234,16.448128685485447
235,22.79387344612508
236,11.65201904750553
237,32.04328705438685
238,75.7590591987647
239,48.567089306737465
240,12.47702809636312
241,73.22612443575134
242,45.3528464096003
243,49.1029224112944
244,39.315792244639894
245,46.74069335323927
246,68.55758813584367
247,18.735336328035526
248,42.5300291987533
249,61.063694774293076
250,4.9214606451792955
251,57.72161794121433
252,11.875815538408393
253,49.79689869839399
254,71.76456229096178
255,64.25376663990959
256,84.8056281420237
257,83.47476684090836
258,42.44726898211915
259,55.045383484429664
260,87.47512889725229
261,81.34076642785404
262,36.023671480009455
263,6.3554431932988065
264,56.26942312102069
265,21.58042104680654
266,63.64907766351478
267,40.48563932183183
268,78.33215847877163
269,56.65183673843752
270,14.11061489316087
271,87.58797181870571
272,22.150474570658485
273,25.583434715945724
274,84.38245214889899
275,5.309908242001465
276,32.77282988344812
277,26.92158365653172
278,9.07934124206621
279,66.86985034254357
280,83.94747119828888
281,36.58011944168194
282,22.382765830362843
283,51.4778726071925
284,63.400412127141635
285,34.20113068741777
286,12.012708905967514
287,55.17741311088281
288,17.10901182289254
289,36.386948086397474
290,10.079788202589459
291,35.677143671787384
292,78.65614738744637
293,84.81900973366221
294,17.32441067413891
295,13.856041083381593
296,16.960558074804226
297,6.725878987441055
298,19.00689835092544
299,43.222014588365255
300,47.13905764756564
301,23.445758809998793
302,48.95242407838191
303,79.05955995785565
304,69.82971775263212
305,49.176296539938406
306,30.823848425650063
307,68.6180414029005
308,88.03077615135008
309,26.845107513259723
310,75.18576123781763
311,14.305134734987897
312,54.55728980889527
313,74.58821711497173
314,67.29134898656821
315,65.66218722560198
316,5.863784865896555
317,14.771701062473069
318,12.359115330064279
319,18.880432012935092
320,66.9363511328756
321,27.201153019384485
322,7.843548660508638
323,51.083623643148265
324,77.94173484159859
325,55.40073716690347
326,49.23298559769865
327,7.952055963178818
328,76.0526686840075
329,29.102439109416363
330,73.44231895208067
